MasterDataType,MainOrganizationId,OrganizationMainIndex,OrganizationId,GovernmentOfficeOrganizationAffiliation,OrganizationName,Alias,UnifiedSocialCreditCode,OrganizationOperationStatus,OrganizationOperationStatusCode,SuperiorSupervisoryOrganization,SuperiorSupervisoryOrganizationMainIndex,EconomicType,EconomicTypeCode,CivilAdministrativeDivisionDistrictCounty,CivilAdministrativeDivisionDistrictCountyCode,CivilAdministrativeDivisionStreet,CivilAdministrativeDivisionStreetCode,DetailedAddress,GeographicalLongitude,GeographicalLatitude,OrganizationPostcode,OrganizationContactTelephone,OrganizationEmail,OrganizationWebsiteDomain,MedicalInstitutionPracticingLicenseRegistrationNumber,HealthInstitutionOrganizationCode,HealthInstitutionCategory,HealthInstitutionCategoryCode,SecondaryOrganizationName,SecondaryOrganizationMainIndexNumber,SecondaryOrganizationType,SecondaryOrganizationTypeCode,ThreeLevelAccreditationGradeOfChineseHospitalsGrade,ThreeLevelAccreditationGradeOfChineseHospitalsGradeCode,OrganizationClassificationManagementType,OrganizationClassificationManagementTypeCode,SuperiorOrganization,SuperiorOrganizationMainIndexNumber,PersonInChargeName,PersonInChargeTelephone
组织机构主数据,,e56f8163-5249-4622-bbbd-b4ceb1c6fa5b,500000037830,,重庆市卫生健康委员会,,,,,,,,,渝北区,500112,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,16341175-a5d6-4e64-9740-58c677131bf3,500000037831,,万州区卫生健康委员会,,,,,,,,,万州区,500101,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,29c80166-eb60-4ebc-88cf-798fb7bf95ff,500000037832,,涪陵区卫生健康委员会,,,,,,,,,涪陵区,500102,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,06351eb4-e89b-4d95-8e15-15843dfcc82e,500000037833,,渝中区卫生健康委员会,,,,,,,,,渝中区,500103,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,bbea0907-b0e1-44b6-ab5d-47336aacb36d,500000037834,,大渡口区卫生健康委员会,,,,,,,,,大渡口区,500104,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,f853889d-1dbd-44cc-8839-71d367dab674,500000037835,,江北区卫生健康委员会,,,,,,,,,江北区,500105,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,eb034845-b77e-4bf7-9262-7d588941d131,500000037836,,沙坪坝区卫生健康委员会,,,,,,,,,沙坪坝区,500106,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,a5f945a7-7e5c-4ea2-8863-2e748ecd34d5,500000037838,,九龙坡区卫生健康委员会,,,,,,,,,九龙坡区,500107,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,b50a3a67-c7ed-4ed2-a1e9-4ae22e4bd79d,500000037839,,南岸区卫生和健康委员会,,,,,,,,,南岸区,500108,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,4f07a8a7-1184-4650-ac1e-8849f4004bf5,500000037840,,北碚区卫生健康委员会,,,,,,,,,北碚区,500109,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,64fba0be-d1f5-4a62-a845-1d69b2cad216,500000037847,,綦江区卫生健康委员会,,,,,,,,,綦江区,500110,,,,,,,,,,,,,,,,,,,,,,,,,,
组织机构主数据,,7cec1a75-f9ff-4468-93e9-e50e8bad2f1c,500000037850,,大足区卫生健康委员会,,,,,,,,,大足区,500111,,,,,,,,,,,,,,,,,,,,,,,,,,
